ITEM,TECH NUMBER,ACTIVITY CSG NUMBER,ACTIVITY CLOSED DATE,LINE AMOUNT
Swap Relocate,MASC914117,1-1LZ4NIBX,4/19/2014,5
INTERNAL DECA-T1,MASC914117,1-1LZ4NIBX,4/19/2014,4
MRV ENABLED,MASC914117,1-1LZ4NIBX,4/19/2014,0
IRD - CLIENT,MASC907665,1-1LYFPKYR,4/19/2014,15.25
IRD - CLIENT,MASC907665,1-1LYFPKYR,4/19/2014,15.25
IRD - CLIENT,MASC907665,1-1LYFPKYR,4/19/2014,15.25
ODU UPGRADE,MASC907665,1-1LYFPKYR,4/19/2014,22
ODU - 18 X 20,MASC995440,1-1LZIRMTG,4/19/2014,0
IRD - STANDARD,MASC995440,1-1LZIRMTG,4/19/2014,19
IRD - STANDARD,MASC995440,1-1LZIRMTG,4/19/2014,19
IRD - STANDARD,MASC995440,1-1LZIRMTG,4/19/2014,19
MULTI-SWITCH KA 6X8,MASC995440,1-1LZIRMTG,4/19/2014,0
BS FILTER,MASC995064,1-1LZ8TAQD,4/19/2014,0
BS FILTER,MASC995064,1-1LZ8TAQD,4/19/2014,0
BS FILTER,MASC995064,1-1LZ8TAQD,4/19/2014,0
Former Install,MASC995064,1-1LZ8TAQD,4/19/2014,60
SUBSIDY,MASC995064,1-1LZ8TAQD,4/19/2014,0
KA/KU LNB SWM LABOR,MASC998397,1-1LVQUOD8,4/22/2014,8
IRD - STANDARD,MASC998397,1-1LVQUOD8,4/22/2014,19
MULTI-SWITCH SWM 8,MASC999035,1-1M0VLR7L,4/22/2014,0
IRD - STANDARD,MASC999035,1-1M0VLR7L,4/22/2014,19
"""ODU - 18""""""",MASC999035,1-1M0VLR7L,4/22/2014,0
MULTI-SWITCH KA 6X8,MASC999035,1-1M0VLR7L,4/22/2014,0
MULTI-SWITCH KA 6X8,MASC999035,1-1M0VLR7L,4/22/2014,0
MULTI-SWITCH 2X4,MASC911659,1-1M1EOWV9,4/22/2014,0
NON DIRECTV EQUIPMENT,MASC998397,1-1LVQUOD8,4/22/2014,22
KA/KU LNB SWM 3,MASC997093,1-1LOKRBS3,4/19/2014,0
SWM ODU HARDWARE,MASC997093,1-1LOKRBS3,4/19/2014,0
KA/KU LNB SWM LABOR,MASC997093,1-1LOKRBS3,4/19/2014,8
IRD - CLIENT,MASC997093,1-1LOKRBS3,4/19/2014,15.25
IRD - CLIENT,MASC997093,1-1LOKRBS3,4/19/2014,15.25
ODU RELOCATE,MASC906491,1-1LZFBL3H,4/19/2014,18
NON DIRECTV EQUIPMENT,MASC906491,1-1LZFBL3H,4/19/2014,22
MRV ENABLED,MASC906491,1-1LZFBL3H,4/19/2014,0
KA/KU LNB SWM 3,MASC997093,1-1LZ015ET,4/19/2014,0
ODU UPGRADE,MASC997093,1-1LZ015ET,4/19/2014,22
IRD - KA/KU,MASC997093,1-1LZ015ET,4/19/2014,19
